,Unnamed: 0,time,value
145,145,2018-07-03 09:16:47,7.093610000000001
146,146,2018-07-03 09:16:50,194.247178
147,147,2018-07-03 09:16:53,0.0
148,148,2018-07-03 09:16:56,0.3718
149,149,2018-07-03 09:16:59,0.30295300000000003
150,150,2018-07-03 09:17:02,0.0
151,151,2018-07-03 09:17:08,0.31119600000000003
152,152,2018-07-03 09:17:11,0.297084
153,153,2018-07-03 09:17:15,0.309811
154,154,2018-07-03 09:17:18,0.0
155,155,2018-07-03 09:17:21,0.288313
156,156,2018-07-03 09:17:24,0.335926
157,157,2018-07-03 09:17:27,0.30295300000000003
158,158,2018-07-03 09:17:30,0.37457
159,159,2018-07-03 09:17:33,0.0
160,160,2018-07-03 09:17:36,0.409455
161,161,2018-07-03 09:17:50,0.380307
162,162,2018-07-03 09:17:53,0.327419
163,163,2018-07-03 09:17:54,0.327419
164,164,2018-07-03 09:17:56,0.348455
165,165,2018-07-03 09:17:58,0.384593
166,166,2018-07-03 09:17:59,0.384593
167,167,2018-07-03 09:18:01,0.28580700000000003
168,168,2018-07-03 09:18:04,0.326429
169,169,2018-07-03 09:18:07,733.0269040000002
170,170,2018-07-03 09:18:13,34.330821
171,171,2018-07-03 09:18:18,0.335134
172,172,2018-07-03 09:18:30,0.31878
173,173,2018-07-03 09:18:31,0.31878
174,174,2018-07-03 09:18:32,0.27176100000000003
175,175,2018-07-03 09:18:33,0.27176100000000003
176,176,2018-07-03 09:18:36,0.0
177,177,2018-07-03 09:18:37,0.0
178,178,2018-07-03 09:18:44,0.33065
179,179,2018-07-03 09:18:47,24.917847
180,180,2018-07-03 09:18:56,32.95131
181,181,2018-07-03 09:19:00,32.10345
182,182,2018-07-03 09:19:01,32.10345
183,183,2018-07-03 09:19:02,32.10345
184,184,2018-07-03 09:19:03,32.959685
185,185,2018-07-03 09:19:05,33.083069
186,186,2018-07-03 09:19:08,81.27751500000002
187,187,2018-07-03 09:19:11,0.360523
188,188,2018-07-03 09:19:15,0.335266
189,189,2018-07-03 09:19:18,0.301106
190,190,2018-07-03 09:19:21,9.865688
191,191,2018-07-03 09:19:24,32.861426
192,192,2018-07-03 09:19:27,32.858129
193,193,2018-07-03 09:19:30,247.82415
194,194,2018-07-03 09:19:33,23.261959
195,195,2018-07-03 09:19:36,456.236918
196,196,2018-07-03 09:19:42,184.749399
197,197,2018-07-03 09:19:43,184.749399
198,198,2018-07-03 09:19:45,1162.340379
199,199,2018-07-03 09:19:49,974.34027
200,200,2018-07-03 09:19:51,468.338417
201,201,2018-07-03 09:19:55,1196.251721
202,202,2018-07-03 09:19:58,715.307718
203,203,2018-07-03 09:20:01,724.518173
204,204,2018-07-03 09:20:04,346.847427
205,205,2018-07-03 09:20:07,0.285675
206,206,2018-07-03 09:20:11,0.274531
207,207,2018-07-03 09:20:13,247.247986
208,208,2018-07-03 09:20:19,2.157798
209,209,2018-07-03 09:20:21,0.336387
210,210,2018-07-03 09:20:27,81.887245
211,211,2018-07-03 09:20:31,0.362502
212,212,2018-07-03 09:20:35,0.334739
213,213,2018-07-03 09:20:36,0.334739
214,214,2018-07-03 09:20:37,0.334739
215,215,2018-07-03 09:20:39,0.373053
216,216,2018-07-03 09:20:41,0.3768780000000001
217,217,2018-07-03 09:20:44,0.316538
218,218,2018-07-03 09:20:47,725.4183929999998
219,219,2018-07-03 09:20:52,165.88988600000005
220,220,2018-07-03 09:20:55,230.557283
221,221,2018-07-03 09:20:58,264.538989
222,222,2018-07-03 09:21:05,526.411675
223,223,2018-07-03 09:21:07,293.252255
224,224,2018-07-03 09:21:10,239.564759
225,225,2018-07-03 09:21:12,239.564759
226,226,2018-07-03 09:21:15,0.285082
227,227,2018-07-03 09:21:18,0.0
228,228,2018-07-03 09:21:24,0.549259
229,229,2018-07-03 09:21:25,0.549259
230,230,2018-07-03 09:21:26,0.549259
231,231,2018-07-03 09:21:39,0.298798
232,232,2018-07-03 09:21:40,0.298798
233,233,2018-07-03 09:21:42,0.37879
234,234,2018-07-03 09:21:46,0.0
235,235,2018-07-03 09:21:49,0.304272
236,236,2018-07-03 09:21:52,0.0
237,237,2018-07-03 09:21:58,80.59564
238,238,2018-07-03 09:22:01,0.0
239,239,2018-07-03 09:22:04,0.333683
240,240,2018-07-03 09:22:07,0.0
241,241,2018-07-03 09:22:10,0.32056
242,242,2018-07-03 09:22:13,0.366326
243,243,2018-07-03 09:22:16,0.0
244,244,2018-07-03 09:22:19,0.30447
245,245,2018-07-03 09:22:22,0.0
246,246,2018-07-03 09:22:25,57.785802
247,247,2018-07-03 09:22:29,47.472476
248,248,2018-07-03 09:22:32,0.390199
249,249,2018-07-03 09:22:35,0.291544
250,250,2018-07-03 09:22:38,0.41084
251,251,2018-07-03 09:22:41,0.293325
252,252,2018-07-03 09:22:44,0.0
253,253,2018-07-03 09:22:47,0.34139899999999995
254,254,2018-07-03 09:22:50,0.303283
255,255,2018-07-03 09:22:53,0.304799
256,256,2018-07-03 09:22:56,0.0
257,257,2018-07-03 09:23:02,0.384659
258,258,2018-07-03 09:23:05,0.0
259,259,2018-07-03 09:23:08,0.355445
260,260,2018-07-03 09:23:12,222.988867
261,261,2018-07-03 09:23:15,0.298337
262,262,2018-07-03 09:23:18,0.31845
263,263,2018-07-03 09:23:21,0.342652
264,264,2018-07-03 09:23:24,0.313834
265,265,2018-07-03 09:23:27,0.31040500000000004
266,266,2018-07-03 09:23:30,0.312185
267,267,2018-07-03 09:23:33,0.345686
268,268,2018-07-03 09:23:36,81.96644599999998
269,269,2018-07-03 09:23:39,30.281842
270,270,2018-07-03 09:23:42,0.299392
271,271,2018-07-03 09:23:45,0.322407
272,272,2018-07-03 09:23:48,0.0
273,273,2018-07-03 09:23:51,0.339091
274,274,2018-07-03 09:23:55,0.0
275,275,2018-07-03 09:23:58,0.289104
276,276,2018-07-03 09:24:01,0.0
277,277,2018-07-03 09:24:04,0.353269
278,278,2018-07-03 09:24:07,0.311064
279,279,2018-07-03 09:24:10,0.284686
280,280,2018-07-03 09:24:13,0.335992
281,281,2018-07-03 09:24:16,0.345026
282,282,2018-07-03 09:24:19,0.270574
283,283,2018-07-03 09:24:22,0.334277
284,284,2018-07-03 09:24:25,0.351159
285,285,2018-07-03 09:24:28,0.0
286,286,2018-07-03 09:24:35,0.377933
